ID,Sinahala_words,English_words,Semmantic_meaning
10,ලබාදෙන්න,select,command
11,දෙන්න,select,command
12,කුමක්ද,select,command
13,කීයද,select,command
14,කොපමණද,select,command
15,පමණක්,where,condition
16,සහ,And,Logical_operator 
17,හා,And,Logical_operator 
18,හෝ,Or,Logical_operator 
19,ක්,=,Condition _ operator
,සමාන,=,Condition _ operator
20,ට වැඩි,>,Condition _ operator
20,ටවැඩි,>,Condition _ operator
,වැඩි,>,Condition _ operator
21,වඩා,>,Condition _ operator
22,අඩු,<,Condition _ operator
27,වැඩිහෝසමාන,>=,Condition _ operator
28,විශාලහෝසමාන,>=,Condition _ operator
29,කුඩාහෝසමාන,<=,Condition _ operator
30,අඩුහෝසමාන,<=,Condition _ operator
27,ලබාගත්,-,unnecessary_word
28,නිසා,-,unnecessary_word
29,ඇත,-,unnecessary_word
30,බවට,-,unnecessary_word
,ගණන,count,calculation
,එකතුව,sum,calculation
,ප්රමාණය,count,calculation
,සාමාන්යය,average,calculation
,උපරිම,max,calculation
,අවම,min,calculation
,අනුපිලිවලින්,ORDER BY,function
,පිලිවලින්,ORDER BY,function
,පිලිවලට,ORDER BY,function
