Sinahala_words,Root_word,English_words,"Semmantic_meaning
"
ලබාදෙන්න,ලබාදෙන්න,select,command
දෙන්න,ලබාදෙන්න,select,command
කුමක්ද,කුමක්,select,command
කීයද,කීයද,select,command
කොපමණද,කොපමණ,select,command
පමණක්,පමණක,where,condition
සහ,සහ,And,Logical_operator 
හා,හා,And,Logical_operator 
හෝ,හෝ,Or,Logical_operator 
ක්,ක්,=,Condition _ operator
සමාන,සමාන,=,Condition _ operator
ටවැඩි,ටවැඩි,>,Condition _ operator
ටවැඩි,ටවැඩි,>,Condition _ operator
වැඩි,වැඩි,>,Condition _ operator
වඩා,වඩා,>,Condition _ operator
අඩු,අඩු,<,Condition _ operator
වැඩිහෝසමාන,වැඩිහෝසමාන,>=,Condition _ operator
විශාලහෝසමාන,විශාලහෝසමාන,>=,Condition _ operator
කුඩාහෝසමාන,කුඩාහෝසමාන,<=,Condition _ operator
අඩුහෝසමාන,අඩුහෝසමාන,<=,Condition _ operator
ලබාගත්,ලබාගත්,-,unnecessary_word
නිසා,නිසා,-,unnecessary_word
ඇත,ඇත,-,unnecessary_word
බවට,බවට,-,unnecessary_word
ගණන,ගණන,count,calculation
එකතුව,එකතුව,sum,calculation
ප්රමාණය,ප්රමාණය,count,calculation
සාමාන්යය,සාමාන්යය,average,calculation
උපරිම,උපරිම,max,calculation
අවම,අවම,min,calculation
අනුපිලිවලින්,අනුපිලිවලින්,ORDER BY,function
පිලිවලින්,පිලිවලින්,ORDER BY,function
පිලිවලට,පිලිවලට,ORDER BY,function
hibernate_sequence,hibernate_sequence,hibernate_sequence,Table
next_val,next_val,next_val,column
Student,Student,Student,Table
student_id,student_id,student_id,column
name,name,name,column
marks,marks,marks,column
සිසුන්,සිසුන්,සිසුන්,Table
id,id,id,column
නම,නම,නම,column
ලකුණු,ලකුණු,ලකුණු,column
